"_ano_pesquisa","cargo_atual","nivel","genero","cor_raca_etnia","pcd","qtd_respondentes"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Prefiro não informar","Preta","Não","1"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","Branca","Sim","1"
"2023","Analista de Suporte/Analista Técnico","Sênior","Masculino","Preta","Não","1"
"2023","Estatístico","Pleno","Prefiro não informar","Prefiro não informar","Não","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Feminino","Outra","Não","1"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Branca","Sim","1"
"2023",,,"Feminino","Branca","Prefiro não informar","1"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","Amarela","Não","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Prefiro não informar","Não","1"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Indígena","Não","1"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","Preta","Prefiro não informar","1"
"2023","DBA/Administrador de Banco de Dados","Sênior","Feminino","Branca","Não","1"
"2023",,,"Masculino","Parda","Prefiro não informar","1"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Indígena","Não","1"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Prefiro não informar","Prefiro não informar","1"
"2023",,,"Masculino","Indígena","Não","1"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","Masculino","Preta","Não","1"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","Feminino","Branca","Não","1"
